名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
二连浩特国门景区Erenhot Guomen Scenic Area,http://travel.qunar.com/p-oi5940899-erlianhaoteguomenjing,"

地址:
锡林郭勒盟二连浩特市二零八国道

",二连浩特国门被誉为祖国的北大门，矗立于中蒙边境，门楣上嵌有“中华人民共和国”七个大字。国门横跨铁路，共4层，高21米，长71.4米，宽13米。矗立在中蒙边境二连—扎门乌德口岸815、816号界碑是全国边界站点中的一处双号双立界碑。拾级而上，站在国门顶层向北远眺，具有俄罗斯建筑风格的蒙古国边城扎门乌德火车站大楼，具有民族特色的居民小木楼及具有草原风情的蒙古包群尽收眼底，通过高倍望远镜，蒙古边城扎门乌德可以一览无余。国门下方的中蒙铁路，是连接首都北京和乌兰巴托、莫斯科的铁路交通大动脉，被誉为“欧亚大陆桥”。,全天开放,https://img1.qunarzz.com/travel/d3/1601/6a/a8ed966939dee5f7.jpg_480x360x95_13e84481.jpg,4.4,建议游览时间：1小时,最佳旅游时间为每年夏季，尤其是6、7、8、9月份；秋冬天气寒冷，应注意保暖防寒。,{'二连浩特国门景区门票成人票\n\n': ['¥50起']},,2
平顶山火山群Pingdingshan volcanic group,http://travel.qunar.com/p-oi5940902-pingdingshanhuoshanqun,"

地址:
锡林郭勒盟锡林浩特市贝力克牧场


电话:
0479-8263204

",平顶山火山群位于锡张公路20余公里处，由一万年前的火山喷发而形成，10余座如被刀削平的山排列在草原之上，称为锡张公路上一道独特的景观。平顶山远看时平如书面，近看却是植被稀疏，散落在路边的尽是火山爆发时所留下的凝灰岩。平顶山北依草原，南靠疏林，站在山顶远眺平川，让人感到大自然的鬼斧神工，震撼人心。还可远远看见我国较大的风车群，几十米高的风车星罗棋布，颇为壮观。在平顶山观日出日落，景色殊佳。尤其是日落之时，山色在夕阳的映衬下，呈现或浓或淡的红色，有如梦幻一般，“平台落日”为锡盟至景之一。,全年 全天开放,https://img1.qunarzz.com/travel/d4/1710/a9/ec55e0c84cb320b5.jpg_480x360x95_f30b77dc.jpg,4.2,建议游览时间：1小时 - 2小时,1、最佳旅游时间为每年夏季，6、7、8、9月份最适宜，但应注意防雨；秋季冬季较为寒冷，应注意保暖。2、每年七月中下旬举办那达慕草原旅游节，集中展示蒙古民族歌舞、体育、竞技、服饰、饮食各方面的灿烂文化。,具体收费情况以现场公示为主,,2
元上都遗址Yuanshangdu Relic Site,http://travel.qunar.com/p-oi5136754-yuanshangdouyizhi,"

地址:
锡林郭勒盟正蓝旗上都镇东北约20公里的闪电河北岸


电话:
0479-4225013

",元上都遗址位于锡林浩特市南面的正蓝旗上都镇东北约20公里的闪电河北岸，始建于1256年，是元朝开国皇帝忽必烈继承蒙古汗位时确定的首都。后来元朝定都北京后，就把这里作为陪都，又名上京或滦京。元朝皇帝每年夏季率领重要大臣来这里避暑和处理政务，因此将宫城建成园林式的离宫别馆。元上都遗址呈方形，站在城外的台基上，依稀可以辨认出房屋当年的格局。此外，在都城附近还有一座面积很大的园林，古时有竹经楼台，大理石宫殿，奇花异卉，原本还放养了一些麋鹿等动物，以供帝王游猎。公元1358年，上都城在元末农民起义的战火中焚毁，其后又历经战争，变为了一座“拥抱着巨大文明的废墟”。元上都现存有13门。其中宫城3门，不设瓮城；外城4门，城门外均建有方形或马蹄形瓮城。,全年 8:30-17:00,https://img1.qunarzz.com/travel/poi/1409/03/727a0e8889ccb357ffffffffc8d65eac.jpg_480x360x95_018af3a5.jpg,4.1,建议游览时间：2小时,最佳旅游时间为夏季，如七、八、九月；秋、冬季较为寒冷，注意防寒保暖。,50元,,2
额尔敦敖包E'erdun Oboo,http://travel.qunar.com/p-oi5918141-eerdunaobao,,额尔敦敖包始建于1753年（清乾隆十八年），由十三个敖包组成。此外，它作为旗敖包每年都要祭祀，已有数百年的祭祀历史。,,https://img1.qunarzz.com/travel/poi/201405/29/c176c9b3b4be77c8ddb12cfb.jpg_480x360x95_59057dce.jpg,4.1,建议游览时间：12小时 - 3天,1、最佳旅游时间为每年夏季，尤其是6、7、8、9月份，但应注意防雨；秋季冬季较为寒冷，不推荐前往。2、每年农历五月十三会有祭祀活动。,具体收费情况以现场公示为主,,2
白音锡勒草原牧场Baiyinxile Grassland Ranch,http://travel.qunar.com/p-oi5860226-baiyinxilecaoyuanmuchang,"

地址:
锡林郭勒盟锡林浩特市

",白音锡勒草原牧场位于锡林郭勒盟锡林浩特市东南55公里，始建于1950年，是锡林郭勒草原自然保护区的核心区。这里饲养的马、绵羊都是有名的优良品种，其经营管理、科技水平都较高。这里野生动植物品种众多，是内蒙古草原生态精华部分。景区内有赛马场、野生动物园、成吉思汗边墙、四方城、浩勒图音苏莫喇嘛庙、布里亚特苏莫喇嘛庙等景点。楚古兰敖包位于锡林浩特市南25公里外，每年阴历5月21日这里都举行盛大的祭祀活动。扎格斯台淖尔湖水碧波荡漾，出产“三道鳞”鲤鱼，每年还有海鸥、天鹅来这里栖息。,全天开放,https://img1.qunarzz.com/travel/poi/1409/03/45a4956e25b2f8e1ffffffffc8d65eac.jpg_480x360x95_8e552fc4.jpg,5.0,建议游览时间：3小时 - 5小时,最佳旅游时间为每年夏季，特别是6、7、8、9月，但应注意防雨；秋季冬季较为寒冷，不建议前往。,具体收费情况以现场公示为主,,2
浑善达克沙地Hunshandake Sandy Land,http://travel.qunar.com/p-oi5860345-hunshandakeshadi,"

地址:
锡林郭勒盟锡林浩特市克什克腾旗西部

", 浑善达克沙地是我国十大沙漠沙地之一，位于中部锡林郭勒草原南端，距北京直线距离180千米，是离北京较近的沙源。浑善达克沙地水草丰美，景观奇特，风光秀丽，有人称它为“塞外江南”，也有人称它为“花园沙漠”。那里野生动植物资源比较多，是候鸟的产卵繁育地，还有很多植物和药材。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201405/21/010cbe68fcb4dd2fddb12cfb.jpg_480x360x95_b115af64.jpg,4.1,建议游览时间：2小时,最佳旅游时间为每年的夏季，尤其是6、7、8、9月份，但应注意防雨；秋季冬季天气较为寒冷，应注意保暖防寒。,具体收费情况以现场公示为主,,2
金莲川草原,http://travel.qunar.com/p-oi5860923-jinlianchuancaoyuan,"

地址:
内蒙古自治区正蓝旗上都镇

",,全天,https://img1.qunarzz.com/travel/poi/1409/03/9ca916e6455cc757ffffffffc8d65eac.jpg_480x360x95_1f779891.jpg,--,建议游览时间：4小时 - 2天,最佳旅游时间为每年夏季，尤其是6、7、8、9月份，但应注意防雨；秋季冬季，草原较为寒冷，不建议前往。,免费,,2
汇宗寺Huizong-Lamakloster,http://travel.qunar.com/p-oi5860925-huizongsi,"

地址:
内蒙古自治区锡林郭勒盟多伦县会盟大街汇宗寺

",汇宗寺庙始建于康熙三十年(公元1691年)。漠西厄鲁特的准噶尔部首领喀尔丹，在沙俄唆使下，悍然进袭漠南。公元1690年康熙御驾亲征，大败噶尔丹。翌年康熙亲赴多伦诺尔会见漠北喀尔喀三部和漠南四十八旗蒙古王公台吉，史称“多伦会盟”。康熙答应了“愿建寺以彰盛典”的请求，开始兴建“汇宗寺”。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201405/29/e2670d4097485789ddb12cfb.jpg_480x360x95_331c3d39.jpg,4.5,建议游览时间：1小时 - 2小时,最佳旅游时间为每年夏季，尤其是6、7、8、9月份，但应注意防雨水；秋季冬季寒冷，应注意保暖防寒。,具体收费情况以现场公示为主,,2
马文化博物馆Ma Culture Museum,http://travel.qunar.com/p-oi5940893-mawenhuabowuguan,,,,,,,,,,2
宝昌文化公园,http://travel.qunar.com/p-oi39640495-baochangwenhuagongyuan,,,,,0.0,,,,,2
内蒙古自治区锡林郭勒盟太仆寺旗宝昌镇,http://travel.qunar.com/p-oi39602220-neimengguzizhiquxilin,,,,,0.0,,,,,3
正蓝旗大好时光自驾营地度假村,http://travel.qunar.com/p-oi38962408-zhenglanqidahaoshiguang,,,,,3.0,,,,,3
滦河源国家森林公园,http://travel.qunar.com/p-oi38339782-luanheyuanguojiasenlin,,,,,0.0,,,具体收费情况以现场公示为主,,3
恐龙广场,http://travel.qunar.com/p-oi38337329-konglongguangchang,,,,,--,,,具体收费情况以现场公示为主,,3
多伦草原,http://travel.qunar.com/p-oi38336535-duoluncaoyuan,,,,,--,,,具体收费情况以现场公示为主,,3
陆桥公园,http://travel.qunar.com/p-oi38335615-luqiaogongyuan,,,,,--,,,具体收费情况以现场公示为主,,3
锡林郭勒盟草原,http://travel.qunar.com/p-oi38335432-xilinguolemengcaoyuan,,,,,3.6,,,,,3
龙泽湖公园,http://travel.qunar.com/p-oi38335182-longzehugongyuan,,,,,--,,,具体收费情况以现场公示为主,,3
别力古台文化园,http://travel.qunar.com/p-oi38334539-bieligutaiwenhuayuan,,"别力古台文化园占地面积约两千亩，园区共分为三部分，分别是贡扎布敖包、别力古台文化广场和绿化区，其中，文化广场中建有别力古台山门，还有很多雕塑。
",,,0.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,3
沙巴日台,http://travel.qunar.com/p-oi38035084-shabaritai,,,,,--,,,具体收费情况以现场公示为主,,3
哈达湖泊山,http://travel.qunar.com/p-oi38034637-hadahuboshan,,,,,--,,,具体收费情况以现场公示为主,,4
苍狼部落,http://travel.qunar.com/p-oi37807273-canglangbuluo,,,,,,,,,,4
苏尼特牧户体验点1号营地,http://travel.qunar.com/p-oi37807215-sunitemuhutiyandian1hao,,,,,3.0,,,,,4
天鹅湖湿地公园,http://travel.qunar.com/p-oi37806987-tianehushidigongyuan,,,,,0.0,,,具体收费情况以现场公示为主,,4
锡林浩特市湿地公园,http://travel.qunar.com/p-oi37805907-xilinhaoteshishidigong,,,,,,,,,,4
乌拉盖湖景区,http://travel.qunar.com/p-oi36257932-wulagaihujingqu,,,,,,,,,,4
兵团小镇,http://travel.qunar.com/p-oi36250450-bingtuanxiaozhen,,兵团小镇位于内蒙古自治区，因曾有电影在这里拍摄而被人们所知。这里青灰色墙体的建筑，古旧的大门，随处可见的标语，还有供销社、邮局、诊所、收购站、饭馆、兽医站、理发铺等都非常具有年代感，适合拍照留念。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
阿木古楞牧场,http://travel.qunar.com/p-oi36103281-amugulengmuchang,"

地址:
内蒙古锡林郭勒盟东乌珠穆沁旗乌里雅斯太山西北200米处


电话:
15147962788

",阿木古楞牧场坐落于风光秀丽、景色宜人、历史悠久古老神奇的乌里雅斯太山之中，是以草原、山体、山石、民族风情、草原文化、休闲度假为主要内容的旅游景区，它以优美的自然风光，神奇的历史传奇，独特的地质地貌而著称，被誉为草原上的一处异景，素有草原盆景之美誉。景区内包括特色餐饮区、草原风光观赏区、休闲烧烤区、娱乐区。仰头是一片纯净而蔚蓝的天空，一座座洁白的蒙古包就像雨后的蘑菇镶嵌在山脚下的绿草地上，天上的皎白无比的蔚蓝色只有几片薄纱似的青云平贴于空中，悠悠的马头琴声，抑扬的蒙古长调，蒙古包的袅袅炊烟，远处飘来的奶茶清香都让它在古老的马头琴声中化为轻絮.....,8:00-17:00,,0.0,建议游览时间：12小时 - 3天,,366元,,4
正蓝旗蒙元夏都旅游度假区,http://travel.qunar.com/p-oi36051490-zhenglanqimengyuanxia,"

地址:
锡林郭勒盟正蓝旗上都镇巴音乌拉嘎查国道239上都收费站2公里处


电话:
18610066774

",正蓝旗蒙元夏都旅游度假区坐落在有着悠久传统历史的锡林郭勒盟，拥有美丽的草原自然风光、古朴的蒙古族风情以及独特的生产生活方式，众多的文物古迹、悠久的历史文化和宜人的避暑气候。度假区内包括了骑马、乘驼、射箭、蒙古族歌舞、服饰表演等旅游项目。旅游活动项目独具特色且丰富多彩。这里既有一望无际、空旷幽深的壮阔美，也有风吹草低见牛羊的动态美；又有蓝天白云、绿草如茵、牧人策马的人与自然的和谐美，足可使您流连忘返。,营业时间9:00--17:00  最晚入园16:30  最晚预订时间16:30,,3.0,建议游览时间：3天 - 6天,,具体收费情况以景区现场公示为主。,,4
大红山西部小镇Dahong Mountain Western Town,http://travel.qunar.com/p-oi35851521-dahongshanxibuxiaozhen,,,,,0.0,,,具体收费情况以现场公示为主,,4
白音德勒Baiyindele Village,http://travel.qunar.com/p-oi35645589-baiyindele,,,,,--,,,具体收费情况以现场公示为主,,5
白音苏盖Baiyin Sugai Scenic Spot,http://travel.qunar.com/p-oi35642862-baiyinsugai,,,,,--,,,具体收费情况以现场公示为主,,5
罕白音Hanbaiyin Village,http://travel.qunar.com/p-oi35641915-hanbaiyin,,,,,--,,,具体收费情况以现场公示为主,,5
准毛德,http://travel.qunar.com/p-oi35559985-zhunmaode,,,,,--,,,具体收费情况以现场公示为主,,5
开地坊子Kaidifangzi Village,http://travel.qunar.com/p-oi35559983-kaidifangzi,,,,,--,,,具体收费情况以现场公示为主,,5
乌兰敖德,http://travel.qunar.com/p-oi35559615-wulanaode,,,,,--,,,具体收费情况以现场公示为主,,5
架子庭敖瑞,http://travel.qunar.com/p-oi35558882-jiazitingaorui,,,,,--,,,具体收费情况以现场公示为主,,5
乌德音沟Wudeyingou Peak,http://travel.qunar.com/p-oi35558823-wudeyingou,,,,,--,,,具体收费情况以现场公示为主,,5
德崩哈达Debenghada Mountain,http://travel.qunar.com/p-oi35558737-debenghada,,,,,--,,,具体收费情况以现场公示为主,,5
额吉敖包Eji Oboo,http://travel.qunar.com/p-oi35385753-ejiaobao,,,,,--,,,具体收费情况以现场公示为主,,5
额吉淖尔嘎查Ejinao’er Gacha,http://travel.qunar.com/p-oi35384113-ejinaoergacha,,,,,--,,,具体收费情况以现场公示为主,,6
皇历特Huanglite Mountain,http://travel.qunar.com/p-oi35320495-huanglite,,,,,--,,,具体收费情况以现场公示为主,,6
赛汗淖尔嘎查,http://travel.qunar.com/p-oi35313527-saihannaoergacha,,,,,--,,,具体收费情况以现场公示为主,,6
赛罕淖尔嘎查,http://travel.qunar.com/p-oi35308767-saihannaoergacha,,,,,--,,,具体收费情况以现场公示为主,,6
赛罕淖尔嘎查Saihannaoer Gacha Village,http://travel.qunar.com/p-oi35308269-saihannaoergacha,,,,,--,,,具体收费情况以现场公示为主,,6
牙巴拉海尔罕Yabala Haierhan River,http://travel.qunar.com/p-oi35306354-yabalahaierhan,,,,,--,,,具体收费情况以现场公示为主,,6
牙马特浑迪Yamatehundi Peak,http://travel.qunar.com/p-oi35306110-yamatehundi,,,,,--,,,具体收费情况以现场公示为主,,6
巴彦额日格图Bayan'e Rigetu Village,http://travel.qunar.com/p-oi35306103-bayanerigetu,,,,,--,,,具体收费情况以现场公示为主,,6
苏吉格音德日斯Sujige Yinderisi Scenic Spot,http://travel.qunar.com/p-oi35306022-sujigeyinderisi,,,,,--,,,具体收费情况以现场公示为主,,6
架斯奈哈朱日Jiasinai Hazhuri Village,http://travel.qunar.com/p-oi35303356-jiasinaihazhuri,,,,,--,,,具体收费情况以现场公示为主,,6
温都尔朱斯郎Wenduer Zhusilang Village,http://travel.qunar.com/p-oi35302905-wendouerzhusilang,,,,,--,,,具体收费情况以现场公示为主,,7
锡林郭勒草原火山地质公园博物馆Xilinguolei Caoyuan Huo Shan Dizhi Park Museum,http://travel.qunar.com/p-oi35214959-xilinguolecaoyuanhuoshan,,博物馆位于山上，山顶的风景很不错，馆内有很多与火山有关的展品，可以了解到很多火山相关的知识。,,,4.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
人民英雄烈士塔,http://travel.qunar.com/p-oi34941650-renminyingxionglieshi,"

地址:
明安图镇北山西街路南

",,全年 全天开放,,--,,,具体收费情况以现场公示为主,,7
锡林郭勒盟红色旅游纪念馆Xilinguoleimeng Hongse Tourism Memorial Hall,http://travel.qunar.com/p-oi34274551-xilinguolemenghongselu:,,,,,,,,,,7
锡林郭勒盟宝德尔肉石艺术博物馆Xilinguoleimeng Baode'er Roushi Art Museum,http://travel.qunar.com/p-oi34274474-xilinguolemengbaodeer,,,,,,,,,,7
内蒙古草原文化博物馆Neimenggu Caoyuan Culture Museum,http://travel.qunar.com/p-oi34272797-neimenggucaoyuanwenhua,,,,,,,,,,7
太仆寺旗博物馆Taipusiqi Museum,http://travel.qunar.com/p-oi34272725-taipusiqibowuguan,"

地址:
太仆寺旗文化大厦一楼

",,未开放,,--,,,收费,,7
鄂吉蒙古族游牧民俗博物馆Eji Mengguzu Youmu Minsu Museum,http://travel.qunar.com/p-oi34272643-ejimengguzuyoumuminsu,"

地址:
内蒙古自治区锡林郭勒盟东乌珠穆沁旗乌里雅斯太镇

",,全年 周二-周日 9:00-17:00,,--,,,免费,,7
太仆寺旗辽金元瓷器博物馆Taipu Si Qi Liao Jinyuan Ciqi Museum,http://travel.qunar.com/p-oi34272489-taipusiqiliaojinyuanci,,,,,,,,,,7
镶黄旗蒙古马文化博物馆Xianghuangqi Mengguma Culture Museum,http://travel.qunar.com/p-oi34272488-xianghuangqimenggumawen,"

地址:
内蒙古镶黄旗新宝拉格镇

",,全年 周二-周日 9:00-17:00,,3.0,,,免费,,7
锡林郭勒草原文化博物馆Xilinguolei Caoyuan Culture Museum,http://travel.qunar.com/p-oi34272154-xilinguolecaoyuanwenhua,,,,,,,,,,8
乌日尼乐图根雕艺术博物馆Wuriniletu Gendiao Art Museum,http://travel.qunar.com/p-oi34271865-wuriniletugendiaoyishu,,,,,0.0,,,免费,,8
东乌珠穆沁旗乌珠穆沁博物馆Dong Wuzhumuqin Qi Wuzhumuqin Museum,http://travel.qunar.com/p-oi34270996-dongwuzhumuqinqiwuzhu,"

地址:
东乌旗乌里雅斯太镇道劳德西路2号乌珠穆沁广场西侧

",,全年 周二-周日 9:00-17:00,,--,,,免费,,8
苏尼特王府博物馆Sunite Wangfu Museum,http://travel.qunar.com/p-oi34270976-sunitewangfubowuguan,"

地址:
苏尼特右旗朱日和镇乌苏图敖包

",博物馆里设置了22个展厅，展览的文物有很多，展示了内蒙古和苏尼特的历史文化。,目前处于闭馆整顿，预计5月开馆,,5.0,建议游览时间：2小时 - 3小时,,免费,,8
